"id","ip_usuario","tipo_movimiento","origen","elementos_involucrados","fecha_hora","comenario"
"74","192.168.1.30","3","Google Ads","vista_Chaqueta_Cuero","2025-11-02 04:16:44","Navegando catalogo"
"75","192.168.1.30","3","Google Ads","vista_Jean_Slim_Negro","2025-11-02 04:17:15","Navegando catalogo"
"76","192.168.1.30","3","Google Ads","vista_Jean_Slim_Negro","2025-11-02 04:17:48","Navegando catalogo"
"77","192.168.1.30","2","Google Ads","btn_agregar_carrito","2025-11-02 04:17:50","Interaccion interfaz"
"78","192.168.1.30","3","Google Ads","vista_Camisa_Lino_Blanca","2025-11-02 04:18:25","Navegando catalogo"
"79","192.168.1.30","2","Google Ads","btn_agregar_carrito","2025-11-02 04:18:27","Interaccion interfaz"
"80","192.168.1.30","5","Google Ads","btn_cancelar_checkout","2025-11-02 04:19:27","Abandono en pago"
"81","192.168.1.27","1","Google Ads","Home_Page","2025-11-02 07:04:00","Inicio de sesion"
"82","192.168.1.27","3","Google Ads","vista_Camisa_Lino_Blanca","2025-11-02 07:04:09","Navegando catalogo"
"83","192.168.1.33","1","Facebook","Home_Page","2025-11-02 08:28:00","Inicio de sesion"
"84","192.168.1.33","3","Facebook","vista_Jean_Slim_Negro","2025-11-02 08:28:37","Navegando catalogo"
"85","192.168.1.33","2","Facebook","btn_ver_tallas","2025-11-02 08:28:39","Interaccion interfaz"
"86","192.168.1.33","3","Facebook","vista_Jean_Slim_Negro","2025-11-02 08:29:15","Navegando catalogo"
"87","192.168.1.33","2","Facebook","btn_ver_tallas","2025-11-02 08:29:17","Interaccion interfaz"
"88","192.168.1.33","3","Facebook","vista_Chaqueta_Cuero","2025-11-02 08:29:38","Navegando catalogo"
"89","192.168.1.33","3","Facebook","vista_Chaqueta_Cuero","2025-11-02 08:30:14","Navegando catalogo"
"90","192.168.1.33","2","Facebook","img_zoom","2025-11-02 08:30:16","Interaccion interfaz"
"91","192.168.1.33","5","Facebook","btn_cancelar_checkout","2025-11-02 08:31:07","Abandono en pago"
"92","192.168.1.2","1","Google Ads","Home_Page","2025-11-02 09:56:00","Inicio de sesion"
"93","192.168.1.2","3","Google Ads","vista_Chaqueta_Cuero","2025-11-02 09:56:44","Navegando catalogo"
"94","192.168.1.20","1","Google Ads","Home_Page","2025-11-02 11:35:00","Inicio de sesion"
"95","192.168.1.20","3","Google Ads","vista_Camisa_Lino_Blanca","2025-11-02 11:35:23","Navegando catalogo"
"96","192.168.1.20","2","Google Ads","img_zoom","2025-11-02 11:35:25","Interaccion interfaz"
"97","192.168.1.20","3","Google Ads","vista_Vestido_Verano_Floral","2025-11-02 11:35:40","Navegando catalogo"
"98","192.168.1.20","2","Google Ads","link_menu_hombres","2025-11-02 11:35:42","Interaccion interfaz"
"99","192.168.1.20","3","Google Ads","vista_Zapatillas_Urban","2025-11-02 11:36:10","Navegando catalogo"
"100","192.168.1.20","3","Google Ads","vista_Jean_Slim_Negro","2025-11-02 11:36:39","Navegando catalogo"
"101","192.168.1.20","2","Google Ads","btn_ver_tallas","2025-11-02 11:36:41","Interaccion interfaz"
"102","192.168.1.20","3","Google Ads","vista_Camisa_Lino_Blanca","2025-11-02 11:37:09","Navegando catalogo"
"103","192.168.1.20","4","Google Ads","btn_finalizar_pago_exitoso","2025-11-02 11:37:22","Venta Exitosa"
"104","192.168.1.50","1","Newsletter","Home_Page","2025-11-02 11:50:00","Inicio de sesion"
"105","192.168.1.50","3","Newsletter","vista_Camisa_Lino_Blanca","2025-11-02 11:50:11","Navegando catalogo"
"106","192.168.1.50","3","Newsletter","vista_Vestido_Verano_Floral","2025-11-02 11:50:32","Navegando catalogo"
"107","192.168.1.31","1","Facebook","Home_Page","2025-11-02 13:46:00","Inicio de sesion"
"108","192.168.1.31","3","Facebook","vista_Zapatillas_Urban","2025-11-02 13:46:18","Navegando catalogo"
"109","192.168.1.31","2","Facebook","btn_ver_tallas","2025-11-02 13:46:20","Interaccion interfaz"
"110","192.168.1.1","1","Directo","Home_Page","2025-11-02 14:59:00","Inicio de sesion"
"111","192.168.1.1","3","Directo","vista_Jean_Slim_Negro","2025-11-02 14:59:21","Navegando catalogo"
"112","192.168.1.28","1","Newsletter","Home_Page","2025-11-02 15:31:00","Inicio de sesion"
"113","192.168.1.28","3","Newsletter","vista_Jean_Slim_Negro","2025-11-02 15:31:17","Navegando catalogo"
"114","192.168.1.28","2","Newsletter","img_zoom","2025-11-02 15:31:19","Interaccion interfaz"
"115","192.168.1.28","3","Newsletter","vista_Zapatillas_Urban","2025-11-02 15:31:42","Navegando catalogo"
"116","192.168.1.28","3","Newsletter","vista_Jean_Slim_Negro","2025-11-02 15:31:52","Navegando catalogo"
"117","192.168.1.28","3","Newsletter","vista_Jean_Slim_Negro","2025-11-02 15:32:37","Navegando catalogo"
"118","192.168.1.28","2","Newsletter","btn_agregar_carrito","2025-11-02 15:32:39","Interaccion interfaz"
"119","192.168.1.28","3","Newsletter","vista_Vestido_Verano_Floral","2025-11-02 15:32:54","Navegando catalogo"
"120","192.168.1.28","2","Newsletter","btn_agregar_carrito","2025-11-02 15:32:56","Interaccion interfaz"
"121","192.168.1.28","4","Newsletter","btn_finalizar_pago_exitoso","2025-11-02 15:33:16","Venta Exitosa"
"122","192.168.1.35","1","Facebook","Home_Page","2025-11-02 17:13:00","Inicio de sesion"
"123","192.168.1.35","3","Facebook","vista_Chaqueta_Cuero","2025-11-02 17:13:31","Navegando catalogo"
"124","192.168.1.35","2","Facebook","btn_ver_tallas","2025-11-02 17:13:33","Interaccion interfaz"
"125","192.168.1.35","3","Facebook","vista_Vestido_Verano_Floral","2025-11-02 17:14:02","Navegando catalogo"
"126","192.168.1.3","1","Instagram Bio","Home_Page","2025-11-02 17:47:00","Inicio de sesion"
"127","192.168.1.3","3","Instagram Bio","vista_Jean_Slim_Negro","2025-11-02 17:47:42","Navegando catalogo"
"128","192.168.1.3","2","Instagram Bio","link_menu_hombres","2025-11-02 17:47:44","Interaccion interfaz"
"129","192.168.1.3","3","Instagram Bio","vista_Camisa_Lino_Blanca","2025-11-02 17:48:25","Navegando catalogo"
"130","192.168.1.3","3","Instagram Bio","vista_Zapatillas_Urban","2025-11-02 17:48:33","Navegando catalogo"
"131","192.168.1.11","1","Newsletter","Home_Page","2025-11-02 20:13:00","Inicio de sesion"
"132","192.168.1.11","3","Newsletter","vista_Vestido_Verano_Floral","2025-11-02 20:13:34","Navegando catalogo"
"133","192.168.1.11","2","Newsletter","btn_agregar_carrito","2025-11-02 20:13:36","Interaccion interfaz"
"134","192.168.1.11","3","Newsletter","vista_Chaqueta_Cuero","2025-11-02 20:13:41","Navegando catalogo"
"135","192.168.1.11","2","Newsletter","btn_ver_tallas","2025-11-02 20:13:43","Interaccion interfaz"
"136","192.168.1.11","3","Newsletter","vista_Jean_Slim_Negro","2025-11-02 20:14:25","Navegando catalogo"
"137","192.168.1.11","2","Newsletter","img_zoom","2025-11-02 20:14:27","Interaccion interfaz"
"138","192.168.1.32","1","Newsletter","Home_Page","2025-11-02 21:33:00","Inicio de sesion"
"139","192.168.1.32","3","Newsletter","vista_Chaqueta_Cuero","2025-11-02 21:33:11","Navegando catalogo"
"140","192.168.1.32","3","Newsletter","vista_Zapatillas_Urban","2025-11-02 21:33:18","Navegando catalogo"
"141","192.168.1.32","2","Newsletter","link_menu_hombres","2025-11-02 21:33:20","Interaccion interfaz"
"142","192.168.1.32","3","Newsletter","vista_Vestido_Verano_Floral","2025-11-02 21:33:47","Navegando catalogo"
"143","192.168.1.32","2","Newsletter","link_menu_hombres","2025-11-02 21:33:49","Interaccion interfaz"
"144","192.168.1.32","3","Newsletter","vista_Vestido_Verano_Floral","2025-11-02 21:34:20","Navegando catalogo"
"145","192.168.1.32","5","Newsletter","btn_cancelar_checkout","2025-11-02 21:34:58","Abandono en pago"
"146","192.168.1.45","1","Instagram Bio","Home_Page","2025-11-03 00:33:00","Inicio de sesion"
"147","192.168.1.45","3","Instagram Bio","vista_Camisa_Lino_Blanca","2025-11-03 00:33:21","Navegando catalogo"
"148","192.168.1.45","3","Instagram Bio","vista_Camisa_Lino_Blanca","2025-11-03 00:33:51","Navegando catalogo"
"149","192.168.1.45","3","Instagram Bio","vista_Vestido_Verano_Floral","2025-11-03 00:34:19","Navegando catalogo"
"150","192.168.1.46","1","Newsletter","Home_Page","2025-11-03 03:13:00","Inicio de sesion"
"151","192.168.1.46","3","Newsletter","vista_Camisa_Lino_Blanca","2025-11-03 03:13:22","Navegando catalogo"
"152","192.168.1.46","3","Newsletter","vista_Camisa_Lino_Blanca","2025-11-03 03:13:41","Navegando catalogo"
"153","192.168.1.46","2","Newsletter","link_menu_hombres","2025-11-03 03:13:43","Interaccion interfaz"
"154","192.168.1.46","3","Newsletter","vista_Zapatillas_Urban","2025-11-03 03:14:21","Navegando catalogo"
"155","192.168.1.46","2","Newsletter","btn_ver_tallas","2025-11-03 03:14:23","Interaccion interfaz"
"156","192.168.1.46","3","Newsletter","vista_Zapatillas_Urban","2025-11-03 03:14:36","Navegando catalogo"
"157","192.168.1.46","3","Newsletter","vista_Vestido_Verano_Floral","2025-11-03 03:15:18","Navegando catalogo"
"158","192.168.1.46","2","Newsletter","btn_agregar_carrito","2025-11-03 03:15:20","Interaccion interfaz"
"159","192.168.1.46","4","Newsletter","btn_finalizar_pago_exitoso","2025-11-03 03:15:44","Venta Exitosa"
"160","192.168.1.7","1","Facebook","Home_Page","2025-11-03 05:22:00","Inicio de sesion"
"161","192.168.1.7","3","Facebook","vista_Zapatillas_Urban","2025-11-03 05:22:07","Navegando catalogo"
"162","192.168.1.7","2","Facebook","btn_ver_tallas","2025-11-03 05:22:09","Interaccion interfaz"
"163","192.168.1.7","3","Facebook","vista_Camisa_Lino_Blanca","2025-11-03 05:22:49","Navegando catalogo"
"164","192.168.1.7","3","Facebook","vista_Chaqueta_Cuero","2025-11-03 05:23:09","Navegando catalogo"
"165","192.168.1.7","3","Facebook","vista_Chaqueta_Cuero","2025-11-03 05:23:45","Navegando catalogo"
"166","192.168.1.7","3","Facebook","vista_Zapatillas_Urban","2025-11-03 05:24:10","Navegando catalogo"
"167","192.168.1.7","2","Facebook","btn_ver_tallas","2025-11-03 05:24:12","Interaccion interfaz"
"168","192.168.1.7","4","Facebook","btn_finalizar_pago_exitoso","2025-11-03 05:24:59","Venta Exitosa"
"169","192.168.1.16","1","Directo","Home_Page","2025-11-03 05:39:00","Inicio de sesion"
"170","192.168.1.16","3","Directo","vista_Jean_Slim_Negro","2025-11-03 05:39:21","Navegando catalogo"
"171","192.168.1.16","2","Directo","link_menu_hombres","2025-11-03 05:39:23","Interaccion interfaz"
"172","192.168.1.16","3","Directo","vista_Chaqueta_Cuero","2025-11-03 05:39:46","Navegando catalogo"
"173","192.168.1.16","2","Directo","btn_agregar_carrito","2025-11-03 05:39:48","Interaccion interfaz"
"174","192.168.1.16","3","Directo","vista_Zapatillas_Urban","2025-11-03 05:40:30","Navegando catalogo"
"175","192.168.1.16","2","Directo","link_menu_hombres","2025-11-03 05:40:32","Interaccion interfaz"
"176","192.168.1.49","1","Google Ads","Home_Page","2025-11-03 07:40:00","Inicio de sesion"
"177","192.168.1.49","3","Google Ads","vista_Camisa_Lino_Blanca","2025-11-03 07:40:39","Navegando catalogo"
"178","192.168.1.49","3","Google Ads","vista_Jean_Slim_Negro","2025-11-03 07:40:56","Navegando catalogo"
"179","192.168.1.19","1","Facebook","Home_Page","2025-11-03 09:03:00","Inicio de sesion"
"180","192.168.1.19","3","Facebook","vista_Zapatillas_Urban","2025-11-03 09:03:07","Navegando catalogo"
"181","192.168.1.19","2","Facebook","btn_agregar_carrito","2025-11-03 09:03:09","Interaccion interfaz"
"182","192.168.1.33","1","Newsletter","Home_Page","2025-11-03 10:06:00","Inicio de sesion"
"183","192.168.1.33","3","Newsletter","vista_Vestido_Verano_Floral","2025-11-03 10:06:25","Navegando catalogo"
"184","192.168.1.33","2","Newsletter","btn_agregar_carrito","2025-11-03 10:06:27","Interaccion interfaz"
"185","192.168.1.33","3","Newsletter","vista_Jean_Slim_Negro","2025-11-03 10:07:09","Navegando catalogo"
"186","192.168.1.33","3","Newsletter","vista_Chaqueta_Cuero","2025-11-03 10:07:53","Navegando catalogo"
"187","192.168.1.33","2","Newsletter","img_zoom","2025-11-03 10:07:55","Interaccion interfaz"
"188","192.168.1.33","3","Newsletter","vista_Chaqueta_Cuero","2025-11-03 10:08:21","Navegando catalogo"
"189","192.168.1.33","3","Newsletter","vista_Jean_Slim_Negro","2025-11-03 10:08:36","Navegando catalogo"
"190","192.168.1.33","2","Newsletter","img_zoom","2025-11-03 10:08:38","Interaccion interfaz"
"191","192.168.1.33","4","Newsletter","btn_finalizar_pago_exitoso","2025-11-03 10:09:10","Venta Exitosa"
"192","192.168.1.12","1","Google Ads","Home_Page","2025-11-03 11:36:00","Inicio de sesion"
"193","192.168.1.12","3","Google Ads","vista_Vestido_Verano_Floral","2025-11-03 11:36:37","Navegando catalogo"
"194","192.168.1.12","2","Google Ads","link_menu_hombres","2025-11-03 11:36:39","Interaccion interfaz"
"195","192.168.1.12","3","Google Ads","vista_Chaqueta_Cuero","2025-11-03 11:37:00","Navegando catalogo"
"196","192.168.1.12","3","Google Ads","vista_Chaqueta_Cuero","2025-11-03 11:37:30","Navegando catalogo"
"197","192.168.1.12","3","Google Ads","vista_Chaqueta_Cuero","2025-11-03 11:37:57","Navegando catalogo"
"198","192.168.1.12","2","Google Ads","btn_agregar_carrito","2025-11-03 11:37:59","Interaccion interfaz"
"199","192.168.1.12","3","Google Ads","vista_Chaqueta_Cuero","2025-11-03 11:38:39","Navegando catalogo"
"200","192.168.1.12","2","Google Ads","btn_agregar_carrito","2025-11-03 11:38:41","Interaccion interfaz"
"201","192.168.1.12","4","Google Ads","btn_finalizar_pago_exitoso","2025-11-03 11:39:37","Venta Exitosa"
"202","192.168.1.19","1","Google Ads","Home_Page","2025-11-03 11:55:00","Inicio de sesion"
"203","192.168.1.19","3","Google Ads","vista_Jean_Slim_Negro","2025-11-03 11:55:33","Navegando catalogo"
"204","192.168.1.19","3","Google Ads","vista_Jean_Slim_Negro","2025-11-03 11:55:57","Navegando catalogo"
"205","192.168.1.19","3","Google Ads","vista_Zapatillas_Urban","2025-11-03 11:56:02","Navegando catalogo"
"206","192.168.1.19","2","Google Ads","link_menu_hombres","2025-11-03 11:56:04","Interaccion interfaz"
"207","192.168.1.19","3","Google Ads","vista_Vestido_Verano_Floral","2025-11-03 11:56:24","Navegando catalogo"
"208","192.168.1.19","3","Google Ads","vista_Zapatillas_Urban","2025-11-03 11:56:33","Navegando catalogo"
"209","192.168.1.19","4","Google Ads","btn_finalizar_pago_exitoso","2025-11-03 11:56:59","Venta Exitosa"
"210","192.168.1.43","1","Facebook","Home_Page","2025-11-03 13:25:00","Inicio de sesion"
"211","192.168.1.43","3","Facebook","vista_Zapatillas_Urban","2025-11-03 13:25:11","Navegando catalogo"
"212","192.168.1.43","2","Facebook","btn_agregar_carrito","2025-11-03 13:25:13","Interaccion interfaz"
"213","192.168.1.43","3","Facebook","vista_Zapatillas_Urban","2025-11-03 13:25:42","Navegando catalogo"
"214","192.168.1.43","2","Facebook","img_zoom","2025-11-03 13:25:44","Interaccion interfaz"
"215","192.168.1.25","1","Google Ads","Home_Page","2025-11-03 16:02:00","Inicio de sesion"
"216","192.168.1.25","3","Google Ads","vista_Camisa_Lino_Blanca","2025-11-03 16:02:22","Navegando catalogo"
"217","192.168.1.25","3","Google Ads","vista_Zapatillas_Urban","2025-11-03 16:02:52","Navegando catalogo"
"218","192.168.1.25","2","Google Ads","btn_agregar_carrito","2025-11-03 16:02:54","Interaccion interfaz"
"219","192.168.1.25","3","Google Ads","vista_Zapatillas_Urban","2025-11-03 16:03:36","Navegando catalogo"
"220","192.168.1.25","2","Google Ads","btn_ver_tallas","2025-11-03 16:03:38","Interaccion interfaz"
"221","192.168.1.25","3","Google Ads","vista_Zapatillas_Urban","2025-11-03 16:03:48","Navegando catalogo"
"222","192.168.1.25","5","Google Ads","btn_cancelar_checkout","2025-11-03 16:04:39","Abandono en pago"
"223","192.168.1.13","1","Google Ads","Home_Page","2025-11-03 16:15:00","Inicio de sesion"
"224","192.168.1.13","3","Google Ads","vista_Vestido_Verano_Floral","2025-11-03 16:15:45","Navegando catalogo"
"225","192.168.1.13","3","Google Ads","vista_Jean_Slim_Negro","2025-11-03 16:16:02","Navegando catalogo"
"226","192.168.1.13","3","Google Ads","vista_Zapatillas_Urban","2025-11-03 16:16:42","Navegando catalogo"
"227","192.168.1.13","2","Google Ads","link_menu_hombres","2025-11-03 16:16:44","Interaccion interfaz"
"228","192.168.1.13","3","Google Ads","vista_Camisa_Lino_Blanca","2025-11-03 16:17:15","Navegando catalogo"
"229","192.168.1.13","2","Google Ads","btn_ver_tallas","2025-11-03 16:17:17","Interaccion interfaz"
"230","192.168.1.13","5","Google Ads","btn_cancelar_checkout","2025-11-03 16:17:58","Abandono en pago"
"231","192.168.1.2","1","Newsletter","Home_Page","2025-11-03 18:42:00","Inicio de sesion"
"232","192.168.1.2","3","Newsletter","vista_Chaqueta_Cuero","2025-11-03 18:42:08","Navegando catalogo"
"233","192.168.1.2","2","Newsletter","img_zoom","2025-11-03 18:42:10","Interaccion interfaz"
"234","192.168.1.2","3","Newsletter","vista_Jean_Slim_Negro","2025-11-03 18:42:46","Navegando catalogo"
"235","192.168.1.2","2","Newsletter","img_zoom","2025-11-03 18:42:48","Interaccion interfaz"
"236","192.168.1.34","1","Facebook","Home_Page","2025-11-03 19:25:00","Inicio de sesion"
"237","192.168.1.34","3","Facebook","vista_Chaqueta_Cuero","2025-11-03 19:25:28","Navegando catalogo"
"238","192.168.1.34","3","Facebook","vista_Chaqueta_Cuero","2025-11-03 19:26:04","Navegando catalogo"
"239","192.168.1.34","3","Facebook","vista_Camisa_Lino_Blanca","2025-11-03 19:26:46","Navegando catalogo"
"240","192.168.1.16","1","Facebook","Home_Page","2025-11-03 19:48:00","Inicio de sesion"
"241","192.168.1.16","3","Facebook","vista_Jean_Slim_Negro","2025-11-03 19:48:32","Navegando catalogo"
"242","192.168.1.16","3","Facebook","vista_Vestido_Verano_Floral","2025-11-03 19:49:02","Navegando catalogo"
"243","192.168.1.16","3","Facebook","vista_Camisa_Lino_Blanca","2025-11-03 19:49:07","Navegando catalogo"
"244","192.168.1.30","1","Google Ads","Home_Page","2025-11-03 20:30:00","Inicio de sesion"
"245","192.168.1.30","3","Google Ads","vista_Camisa_Lino_Blanca","2025-11-03 20:30:27","Navegando catalogo"
"246","192.168.1.30","2","Google Ads","link_menu_hombres","2025-11-03 20:30:29","Interaccion interfaz"
"247","192.168.1.30","3","Google Ads","vista_Vestido_Verano_Floral","2025-11-03 20:31:01","Navegando catalogo"
"248","192.168.1.30","2","Google Ads","btn_ver_tallas","2025-11-03 20:31:03","Interaccion interfaz"
"249","192.168.1.39","1","Instagram Bio","Home_Page","2025-11-03 21:32:00","Inicio de sesion"
"250","192.168.1.39","3","Instagram Bio","vista_Chaqueta_Cuero","2025-11-03 21:32:07","Navegando catalogo"
"251","192.168.1.43","1","Newsletter","Home_Page","2025-11-03 22:23:00","Inicio de sesion"
"252","192.168.1.43","3","Newsletter","vista_Jean_Slim_Negro","2025-11-03 22:23:09","Navegando catalogo"
"253","192.168.1.43","2","Newsletter","img_zoom","2025-11-03 22:23:11","Interaccion interfaz"
